# packet	field	type
# source_protocol_dir	0.14
# source_protocol_json	data/minecraft-data/bedrock/0.14/protocol.json
add_entity	entityId	"i64"
add_entity	entityType	"i32"
add_entity	x	"f32"
add_entity	y	"f32"
add_entity	z	"f32"
add_entity	speedX	"f32"
add_entity	speedY	"f32"
add_entity	speedZ	"f32"
add_entity	yaw	"f32"
add_entity	pitch	"f32"
add_entity	metadata	"metadatadictionary"
add_entity	links	"i16"
add_item_entity	entityId	"i64"
add_item_entity	item	"slot"
add_item_entity	x	"f32"
add_item_entity	y	"f32"
add_item_entity	z	"f32"
add_item_entity	speedX	"f32"
add_item_entity	speedY	"f32"
add_item_entity	speedZ	"f32"
add_painting	entityId	"i64"
add_painting	x	"i32"
add_painting	y	"i32"
add_painting	z	"i32"
add_painting	direction	"i32"
add_painting	title	"string"
add_player	uuid	"uuid"
add_player	username	"string"
add_player	entityId	"i64"
add_player	x	"f32"
add_player	y	"f32"
add_player	z	"f32"
add_player	speedX	"f32"
add_player	speedY	"f32"
add_player	speedZ	"f32"
add_player	yaw	"f32"
add_player	headYaw	"f32"
add_player	pitch	"f32"
add_player	item	"slot"
add_player	metadata	"metadatadictionary"
adventure_settings	flags	"i32"
adventure_settings	userPermission	"i32"
adventure_settings	globalPermission	"i32"
animate	actionId	"i8"
animate	entityId	"i64"
batch	payload	["buffer",{"countType":"i32"}]
chunk_radius_update	chunkRadius	"i32"
container_close	windowId	"i8"
container_open	windowId	"i8"
container_open	type	"i8"
container_open	slotCount	"i16"
container_open	x	"i32"
container_open	y	"i32"
container_open	z	"i32"
container_set_content	windowId	"i8"
container_set_content	slotData	"itemstacks"
container_set_content	hotbarData	["switch",{"compareTo":"windowId","fields":{"0":["array",{"countType":"i16","type":["container",[{"name":"slot","type":"i32"}]]}]},"default":"i16"}]
container_set_data	windowId	"i8"
container_set_data	property	"i16"
container_set_data	value	"i16"
container_set_slot	windowId	"i8"
container_set_slot	slot	"i16"
container_set_slot	unknown	"i16"
container_set_slot	item	"slot"
crafting_data	recipes	["container",[{"name":"entryType","type":"i32"},{"name":"recipe","type":["array",{"countType":"i32","type":["switch",{"compareTo":"entryType","fields":{"0":"shapelessRecipe","1":"shapedRecipe","2":"furnaceRecipe","3":"furnaceRecipeData","4":"enchantList"},"default":"void"}]}]}]]
crafting_data	cleanRecipes	"i8"
crafting_event	windowId	"i8"
crafting_event	recipeType	"i32"
crafting_event	recipeId	"uuid"
crafting_event	input	"itemstacks"
crafting_event	result	"itemstacks"
disconnect	message	"string"
drop_item	itemtype	"i8"
drop_item	item	"slot"
entity_event	entityId	"i64"
entity_event	eventId	"i8"
explode	x	"f32"
explode	y	"f32"
explode	z	"f32"
explode	radius	"f32"
explode	records	"records"
full_chunk_data	chunkX	"i32"
full_chunk_data	chunkZ	"i32"
full_chunk_data	order	"i8"
full_chunk_data	chunkData	["buffer",{"countType":"i32"}]
game_login	username	"string"
game_login	protocol	"i32"
game_login	protocol2	"i32"
game_login	clientId	"i64"
game_login	clientUuid	"uuid"
game_login	serverAddress	"string"
game_login	clientSecret	["buffer",{"countType":"i16"}]
game_login	skin	"skin"
hurt_armor	health	"i8"
interact	actionId	"i8"
interact	targetEntityId	"i64"
level_event	eventId	"i16"
level_event	x	"f32"
level_event	y	"f32"
level_event	z	"f32"
level_event	data	"i32"
mob_effect	entityId	"i64"
mob_effect	eventId	"i8"
mob_effect	effectId	"i8"
mob_effect	amplifier	"i8"
mob_effect	particles	"i8"
mob_effect	duration	"i32"
move_entity	entities	"entitylocations"
move_player	entityId	"i64"
move_player	x	"f32"
move_player	y	"f32"
move_player	z	"f32"
move_player	yaw	"f32"
move_player	headYaw	"f32"
move_player	pitch	"f32"
move_player	mode	"i8"
move_player	onGround	"i8"
player_action	entityId	"i64"
player_action	actionId	"i32"
player_action	x	"i32"
player_action	y	"i32"
player_action	z	"i32"
player_action	face	"i32"
player_armor_equipment	entityId	"i64"
player_armor_equipment	helmet	"slot"
player_armor_equipment	chestplate	"slot"
player_armor_equipment	leggings	"slot"
player_armor_equipment	boots	"slot"
player_equipment	entityId	"i64"
player_equipment	item	"slot"
player_equipment	slot	"i8"
player_equipment	selectedSlot	"i8"
player_list	type	"i8"
player_list	entries	["array",{"countType":"i32","type":["switch",{"compareTo":"type","fields":{"0":["container",[{"name":"clientUuid","type":"uuid"},{"name":"entityId","type":"i64"},{"name":"displayName","type":"string"},{"name":"skin","type":"skin"}]],"1":["container",[{"name":"clientUuid","type":"uuid"}]]}}]}]
player_status	status	"i32"
remove_block	entityId	"i64"
remove_block	x	"i32"
remove_block	z	"i32"
remove_block	y	"i8"
remove_entity	entityId	"i64"
remove_player	entityId	"i64"
remove_player	clientUuid	"uuid"
request_chunk_radius	chunkRadius	"i32"
respawn	x	"f32"
respawn	y	"f32"
respawn	z	"f32"
set_difficulty	difficulty	"i32"
set_entity_data	entityId	"i64"
set_entity_data	metadata	"metadatadictionary"
set_entity_link	riderId	"i64"
set_entity_link	riddenId	"i64"
set_entity_link	linkType	"i8"
set_entity_motion	entities	"entitymotions"
set_health	health	"i32"
set_spawn_position	x	"i32"
set_spawn_position	z	"i32"
set_spawn_position	y	"i32"
set_time	time	"i32"
set_time	started	"i8"
spawn_experience_orb	entityId	"i64"
spawn_experience_orb	x	"i32"
spawn_experience_orb	y	"i32"
spawn_experience_orb	z	"i32"
spawn_experience_orb	count	"i32"
start_game	seed	"i32"
start_game	dimension	"i8"
start_game	generator	"i32"
start_game	gamemode	"i32"
start_game	entityId	"i64"
start_game	spawnX	"i32"
start_game	spawnY	"i32"
start_game	spawnZ	"i32"
start_game	x	"f32"
start_game	y	"f32"
start_game	z	"f32"
start_game	isLoadedInCreative	"bool"
start_game	dayCycleStopTime	"i8"
start_game	eduMode	"bool"
start_game	unknown	"string"
take_item_entity	target	"i64"
take_item_entity	entityId	"i64"
text	type	"i8"
text	name	["switch",{"compareTo":"type","fields":{"1":"string","3":"string"},"default":"void"}]
text	message	["switch",{"compareTo":"type","fields":{"0":"string","1":"string","2":"string","3":"string","4":"string","5":"string"}}]
text	parameters	["switch",{"compareTo":"type","fields":{"2":["array",{"countType":"i8","type":"string"}]},"default":"void"}]
tile_entity_data	x	"i32"
tile_entity_data	y	"i32"
tile_entity_data	z	"i32"
tile_entity_data	namedtag	"restBuffer"
tile_event	x	"i32"
tile_event	y	"i32"
tile_event	z	"i32"
tile_event	case1	"i32"
tile_event	case2	"i32"
transfer	endpoint	"ipAddress"
update_attributes	entityId	"i64"
update_attributes	attributes	"playerattributes"
update_block	blocks	"blockrecords"
use_item	blockcoordinates	"blockcoordinates"
use_item	face	"i8"
use_item	facecoordinates	"vector3"
use_item	playerposition	"vector3"
use_item	slot	"i32"
use_item	item	"slot"
